,Date,ConfirmedCases,DailyCases
1240530,2021-01-27,71529,206.0
1243872,2021-01-28,71819,290.0
1247214,2021-01-29,72068,249.0
1250556,2021-01-30,72279,211.0
1253898,2021-01-31,72454,175.0
1257240,2021-02-01,72610,156.0
1260582,2021-02-02,72732,122.0
1263924,2021-02-03,72945,213.0
1267266,2021-02-04,73167,222.0
1270608,2021-02-05,73399,232.0
1273950,2021-02-06,73602,203.0
1277292,2021-02-07,73692,90.0
1280634,2021-02-08,73832,140.0
1283976,2021-02-09,73981,149.0
1287318,2021-02-10,74151,170.0
1290660,2021-02-11,74406,255.0
1294002,2021-02-12,74578,172.0
1297344,2021-02-13,74742,164.0
1300686,2021-02-14,74877,135.0
1304028,2021-02-15,74991,114.0
1307370,2021-02-16,75140,149.0
1310712,2021-02-17,75281,141.0
1314054,2021-02-18,75419,138.0
1317396,2021-02-19,75587,168.0
1320738,2021-02-20,75701,114.0
1324080,2021-02-21,75826,125.0
1327422,2021-02-22,76009,183.0
1330764,2021-02-23,76156,147.0
1334106,2021-02-24,76287,131.0
1337448,2021-02-25,76398,111.0
1340790,2021-02-26,76542,144.0
1344132,2021-02-27,76659,117.0
1347474,2021-02-28,76765,106.0
1350816,2021-03-01,76871,106.0
1354158,2021-03-02,77025,154.0
1357500,2021-03-03,77279,254.0
1360842,2021-03-04,77406,127.0
1364184,2021-03-05,77506,100.0
1367526,2021-03-06,77796,290.0
1370868,2021-03-07,77882,86.0
1374210,2021-03-08,77960,78.0
1377552,2021-03-09,78098,138.0
1380894,2021-03-10,78207,109.0
1384236,2021-03-11,78341,134.0
1387578,2021-03-12,78450,109.0
1390920,2021-03-13,78589,139.0
1394262,2021-03-14,78889,300.0
1397604,2021-03-15,79010,121.0
1400946,2021-03-16,79165,155.0
1404288,2021-03-17,79328,163.0
1407630,2021-03-18,79511,183.0
1410972,2021-03-19,79730,219.0
1414314,2021-03-20,79898,168.0
1417656,2021-03-21,79994,96.0
1420998,2021-03-22,80121,127.0
1424340,2021-03-23,80285,164.0
1427682,2021-03-24,80560,275.0
1431024,2021-03-25,80728,168.0
1434366,2021-03-26,80980,252.0
1437708,2021-03-27,81165,185.0
1441050,2021-03-28,81323,158.0
1444392,2021-03-29,81487,164.0
1447734,2021-03-30,81698,211.0
1451076,2021-03-31,81889,191.0
1454418,2021-04-01,82163,274.0
1457760,2021-04-02,82391,228.0
1461102,2021-04-03,82635,244.0
1464444,2021-04-04,82864,229.0
1467786,2021-04-05,83031,167.0
1471128,2021-04-06,83350,319.0
1474470,2021-04-07,83637,287.0
1477812,2021-04-08,83927,290.0
1481154,2021-04-09,84261,334.0
1484496,2021-04-10,84570,309.0
1487838,2021-04-11,84777,207.0
1491180,2021-04-12,85016,239.0
1494522,2021-04-13,85272,256.0
1497864,2021-04-14,85523,251.0
1501206,2021-04-15,85799,276.0
1504548,2021-04-16,85994,195.0
1507890,2021-04-17,86225,231.0
1511232,2021-04-18,86397,172.0
1514574,2021-04-19,86547,150.0
1517916,2021-04-20,86723,176.0
1521258,2021-04-21,86921,198.0
1524600,2021-04-22,87172,251.0
1527942,2021-04-23,87430,258.0
1531284,2021-04-24,87668,238.0
1534626,2021-04-25,87807,139.0
1537968,2021-04-26,87994,187.0
1541310,2021-04-27,88158,164.0
1544652,2021-04-28,88323,165.0
1547994,2021-04-29,88519,196.0
1551336,2021-04-30,88752,233.0
1554678,2021-05-01,88941,189.0
1558020,2021-05-02,89043,102.0
1561362,2021-05-03,89180,137.0
1564704,2021-05-04,89343,163.0
1568046,2021-05-05,89505,162.0
1571388,2021-05-06,89618,113.0
1574730,2021-05-07,89821,203.0
1578072,2021-05-08,89941,120.0
1581414,2021-05-09,90032,91.0
1584756,2021-05-10,90140,108.0
1588098,2021-05-11,90266,126.0
1591440,2021-05-12,90387,121.0
1594782,2021-05-13,90503,116.0
1598124,2021-05-14,90628,125.0
1601466,2021-05-15,90731,103.0
1604808,2021-05-16,90799,68.0
1608150,2021-05-17,90835,36.0
1611492,2021-05-18,90946,111.0
1614834,2021-05-19,91075,129.0
1618176,2021-05-20,91170,95.0
1621518,2021-05-21,91288,118.0
1624860,2021-05-22,91352,64.0
1628202,2021-05-23,91423,71.0
1631544,2021-05-24,91498,75.0
1634886,2021-05-25,91548,50.0
1638228,2021-05-26,91623,75.0
1641570,2021-05-27,91658,35.0
1644912,2021-05-28,91717,59.0
1648254,2021-05-29,91771,54.0
1651596,2021-05-30,91814,43.0
1654938,2021-05-31,91860,46.0
1658280,2021-06-01,91893,33.0
1661622,2021-06-02,91907,14.0
1664964,2021-06-03,91981,74.0
1668306,2021-06-04,92068,87.0
1671648,2021-06-05,92132,64.0
1674990,2021-06-06,92142,10.0
1678332,2021-06-07,92170,28.0
1681674,2021-06-08,92213,43.0
1685016,2021-06-09,92249,36.0
1688358,2021-06-10,92264,15.0
1691700,2021-06-11,92281,17.0
1695042,2021-06-12,92297,16.0
1698384,2021-06-13,92309,12.0
1701726,2021-06-14,92318,9.0
1705068,2021-06-15,92328,10.0
1708410,2021-06-16,92351,23.0
1711752,2021-06-17,92362,11.0
1715094,2021-06-18,92368,6.0
1718436,2021-06-19,92368,0.0
1721778,2021-06-20,92368,0.0
1725120,2021-06-21,92413,45.0
1728462,2021-06-22,92425,12.0
1731804,2021-06-23,92446,21.0
1735146,2021-06-24,92446,0.0
1738488,2021-06-25,92473,27.0
1741830,2021-06-26,92473,0.0
1745172,2021-06-27,92473,0.0
1748514,2021-06-28,92547,74.0
1751856,2021-06-29,92561,14.0
1755198,2021-06-30,92565,4.0
1758540,2021-07-01,92579,14.0
1761882,2021-07-02,92595,16.0
1765224,2021-07-03,92595,0.0
1768566,2021-07-04,92595,0.0
1771908,2021-07-05,92595,0.0
1775250,2021-07-06,92651,56.0
1778592,2021-07-07,92668,17.0
1781934,2021-07-08,92688,20.0
1785276,2021-07-09,92713,25.0
1788618,2021-07-10,92713,0.0
1791960,2021-07-11,92713,0.0
1795302,2021-07-12,92788,75.0
1798644,2021-07-13,92808,20.0
1801986,2021-07-14,92846,38.0
1805328,2021-07-15,92888,42.0
1808670,2021-07-16,92920,32.0
1812012,2021-07-17,92920,0.0
1815354,2021-07-18,92920,0.0
1818696,2021-07-19,93057,137.0
1822038,2021-07-20,93095,38.0
1825380,2021-07-21,93155,60.0
1828722,2021-07-22,93274,119.0
1832064,2021-07-23,93353,79.0
1835406,2021-07-24,93353,0.0
1838748,2021-07-25,93353,0.0
1842090,2021-07-26,93568,215.0
1845432,2021-07-27,93641,73.0
1848774,2021-07-28,93753,112.0
1852116,2021-07-29,93852,99.0
1855458,2021-07-30,94007,155.0
1858800,2021-07-31,94007,0.0
1862142,2021-08-01,94007,0.0
1865484,2021-08-02,94295,288.0
1868826,2021-08-03,94445,150.0
1872168,2021-08-04,94558,113.0
1875510,2021-08-05,94782,224.0
1878852,2021-08-06,94926,144.0
1882194,2021-08-07,94926,0.0
1885536,2021-08-08,94926,0.0
1888878,2021-08-09,95374,448.0
1892220,2021-08-10,95529,155.0
1895562,2021-08-11,95750,221.0
1898904,2021-08-12,95914,164.0
1902246,2021-08-13,96160,246.0
1905588,2021-08-14,96160,0.0
1908930,2021-08-15,96160,0.0
1912272,2021-08-16,96689,529.0
1915614,2021-08-17,96851,162.0
1918956,2021-08-18,96987,136.0
1922298,2021-08-19,97141,154.0
1925640,2021-08-20,97397,256.0
1928982,2021-08-21,97397,0.0
1932324,2021-08-22,97397,0.0
1935666,2021-08-23,97864,467.0
1939008,2021-08-24,98022,158.0
1942350,2021-08-25,98245,223.0
1945692,2021-08-26,98462,217.0
1949034,2021-08-27,98780,318.0
1952376,2021-08-28,98780,0.0
1955718,2021-08-29,98780,0.0
1959060,2021-08-30,99315,535.0
1962402,2021-08-31,99590,275.0
1965744,2021-09-01,99854,264.0
1969086,2021-09-02,100120,266.0
1972428,2021-09-03,100436,316.0
1975770,2021-09-04,100436,0.0
1979112,2021-09-05,100436,0.0
1982454,2021-09-06,100436,0.0
1985796,2021-09-07,101096,660.0
1989138,2021-09-08,101319,223.0
1992480,2021-09-09,101493,174.0
1995822,2021-09-10,101781,288.0
1999164,2021-09-11,101781,0.0
2002506,2021-09-12,101781,0.0
2005848,2021-09-13,102230,449.0
2009190,2021-09-14,102512,282.0
2012532,2021-09-15,102689,177.0
2015874,2021-09-16,102939,250.0
2019216,2021-09-17,103152,213.0
2022558,2021-09-18,103152,0.0
2025900,2021-09-19,103152,0.0
2029242,2021-09-20,103580,428.0
2032584,2021-09-21,103738,158.0
2035926,2021-09-22,103917,179.0
2039268,2021-09-23,104074,157.0
2042610,2021-09-24,104268,194.0
2045952,2021-09-25,104268,0.0
2049294,2021-09-26,104268,0.0
2052636,2021-09-27,104661,393.0
2055978,2021-09-28,104762,101.0
2059320,2021-09-29,104910,148.0
2062662,2021-09-30,105071,161.0
2066004,2021-10-01,105273,202.0
2069346,2021-10-02,105273,0.0
2072688,2021-10-03,105273,0.0
2076030,2021-10-04,105694,421.0
2079372,2021-10-05,105921,227.0
2082714,2021-10-06,106076,155.0
2086056,2021-10-07,106259,183.0
2089398,2021-10-08,106401,142.0
2092740,2021-10-09,106401,0.0
2096082,2021-10-10,106401,0.0
2099424,2021-10-11,106401,0.0
2102766,2021-10-12,106932,531.0
2106108,2021-10-13,107150,218.0
2109450,2021-10-14,107312,162.0
2112792,2021-10-15,107465,153.0
