,date,ConfirmedCases,DailyCases,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation,Population
341532,2020-05-03,3611,179.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
344874,2020-05-04,3803,192.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
348216,2020-05-05,3918,115.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
351558,2020-05-06,4056,138.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
354900,2020-05-07,4213,157.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
358242,2020-05-08,4374,161.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
361584,2020-05-09,4493,119.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
364926,2020-05-10,4603,110.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
368268,2020-05-11,4745,142.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
371610,2020-05-12,5121,376.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
374952,2020-05-13,5244,123.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
378294,2020-05-14,5453,209.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
381636,2020-05-15,5634,181.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
384978,2020-05-16,5780,146.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
388320,2020-05-17,5904,124.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
391662,2020-05-18,6076,172.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
395004,2020-05-19,6171,95.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
398346,2020-05-20,6308,137.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
401688,2020-05-21,6471,163.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
405030,2020-05-22,6744,273.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
408372,2020-05-23,6891,147.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
411714,2020-05-24,7060,169.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
415056,2020-05-25,7207,147.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
418398,2020-05-26,7290,83.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
